"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3951","login test @Smoke","chromium","2026-06-01","passed","2026-06-01","","login.spec.js","",""
"","142","login @Web","chromium","2026-06-01","passed","2026-06-01","","login.spec.js","",""
